id_produto;preco;plataforma;link;nome
1;3617.10;AME;https://www.americanas.com.br/celulares-e-smartphones/smartphone/iphone-15?category-1=celulares-e-smartphones&category-2=smartphone&category-3=iphone-15&fuzzy=0&operator=and&facets=category-1%2Ccategory-2%2Ccategory-3%2Cfuzzy%2Coperator&sort=price_asc&page=0/usado-iphone-15-128gb-preto-excelente-trocafone-1774sq544654f054/p;iphone 15
2;4.80;AME;https://www.americanas.com.br/s?q=macbook+pro+2024/pelicula-de-vidro-iphone-6-6s-7-8-se-2020-flex-belkin-7503725995/p;macbook pro 2024
